"","X","site","site_ID","YYYYMMDD_sed","year","n_surv1","n_surv2","dens_surv1","dens_surv2","avg_density","sd_density","dissolved_02_mg.l_surface","dissolved_02_percent_surface","specific_conductivity_surface","salinity_ppt_surface","temperature_C_surface","dissolved_02_mg.l_transect","dissolved_02_percent_transect","specific_conductivity_transect","salinity_ppt_transect","temperature_C_transect","avg_shoot","sd_shoot","avg_flowering","sd_flowering","date","juli_date","SALCHIN","SALCHUM","SALCOHO","SALPINK","SALSOCK","abundance","dist_anad_km","avg_biom_site_gm2","habitat","latitude","longitude","trans_type","sed1_avg","sed2_avg","sed1_sd","sed2_sd","length_anad_km"
"15",15,"Naukati Bay","NAUK_A","2017-07-25",2017,21,31,1.408686903,2.07949019,1.744088546,0.474329553,11.62,135.3,44808,29,14.1,10.7,124.4,45655,29.7,13.7,205,35.50452687,2.5,2.976095237,"2017-08-08",220,0,0,0,0,0,0,0.312898055624,84.57382,"eelgrass",55.862405,-133.190722,"Outside",4.8,6.7,0.918936583472681,0.948683298050514,2.27047173545727
"16",16,"Guktu Bay","GUKT_A","2017-07-24",2017,108,132,12.30418684,15.03845058,13.67131871,1.933416434,8.8,99,48220,31.3,12,8.5,92,48250,31.4,11.8,186,79.85701508,2,3.023715784,"2017-08-09",221,0,1,1,0,0,2,1.76422151959,102.50733,"eelgrass",55.739816,-133.312022,"Edge",1.4,2.2,0.699205898780101,1.81352940116473,4.51004860872314
"17",17,"Guktu Bay","GUKT_A","2017-07-24",2017,108,132,12.30418684,15.03845058,13.67131871,1.933416434,8.8,99,48220,31.3,12,8.5,92,48250,31.4,11.8,186,79.85701508,2,3.023715784,"2017-08-09",221,0,1,1,0,0,2,1.76422151959,102.50733,"eelgrass",55.739816,-133.312022,"Inside",1.2,1,0.632455532033676,0,4.51004860872314
"18",18,"Guktu Bay","GUKT_A","2017-07-24",2017,108,132,12.30418684,15.03845058,13.67131871,1.933416434,8.8,99,48220,31.3,12,8.5,92,48250,31.4,11.8,186,79.85701508,2,3.023715784,"2017-08-09",221,0,1,1,0,0,2,1.76422151959,102.50733,"eelgrass",55.739816,-133.312022,"Outside",2.1,3.7,1.66332999331662,2.83039062871384,4.51004860872314
"19",19,"Blanquizal Point","BLAQ_A","2017-08-20",2017,65,27,5.546075085,2.303754266,3.924914676,2.292667038,8.24,92.6,47300,30.7,12.9,8.22,93.1,47185,30.6,12.9,401,98.25331692,1.5,2.070196678,"2017-08-19",231,0,0,0,0,0,0,0.505143462823,156.45345,"eelgrass",55.62082,-133.38664,"Edge",3,7.3,0.471404520791032,0.483045891539648,0.774242106721478
"20",20,"Blanquizal Point","BLAQ_A","2017-08-20",2017,65,27,5.546075085,2.303754266,3.924914676,2.292667038,8.24,92.6,47300,30.7,12.9,8.22,93.1,47185,30.6,12.9,401,98.25331692,1.5,2.070196678,"2017-08-19",231,0,0,0,0,0,0,0.505143462823,156.45345,"eelgrass",55.62082,-133.38664,"Inside",3.1,3.7,0.316227766016838,1.56702123647242,0.774242106721478
"21",21,"Blanquizal Point","BLAQ_A","2017-08-20",2017,65,27,5.546075085,2.303754266,3.924914676,2.292667038,8.24,92.6,47300,30.7,12.9,8.22,93.1,47185,30.6,12.9,401,98.25331692,1.5,2.070196678,"2017-08-19",231,0,0,0,0,0,0,0.505143462823,156.45345,"eelgrass",55.62082,-133.38664,"Outside",3.4,7.4,0.516397779494322,0.699205898780101,0.774242106721478
"22",22,"Soda Bay","GARC_A","2017-07-26",2017,11,5,0.933786078,0.424448217,0.679117148,0.360156255,12.7,NA,NA,15,10,10.9,NA,NA,30,10,143.5,60.75477641,0,0,"2017-05-11",131,0,56,6,2,0,64,1.22289613063,6.858815,"eelgrass",55.552669,-133.431392,"Edge",3.3,6.4,0.483045891539648,1.26491106406735,0.237082282712462
"23",23,"Soda Bay","GARC_A","2017-07-26",2017,11,5,0.933786078,0.424448217,0.679117148,0.360156255,12.7,NA,NA,15,10,10.9,NA,NA,30,10,143.5,60.75477641,0,0,"2017-05-11",131,0,56,6,2,0,64,1.22289613063,6.858815,"eelgrass",55.552669,-133.431392,"Inside",3.5,5.7,0.52704627669473,2.35937844922485,0.237082282712462
"24",24,"Soda Bay","GARC_A","2017-07-26",2017,11,5,0.933786078,0.424448217,0.679117148,0.360156255,12.7,NA,NA,15,10,10.9,NA,NA,30,10,143.5,60.75477641,0,0,"2017-05-11",131,0,56,6,2,0,64,1.22289613063,6.858815,"eelgrass",55.552669,-133.431392,"Outside",3.6,6.1,0.516397779494322,1.66332999331662,0.237082282712462
"25",25,"Goats mouth inlet","GOAT_A","2017-07-15",2017,0,0,0,0,0,0,9.88,109.1,47115,30.6,11.3,10.14,112.3,47300,30.7,11.1,232,68.45227743,0.5,1.414213562,"2017-05-13",133,0,0,0,0,0,0,2.56869339514,26.51004,"eelgrass",55.192784,-132.900113,"Edge",4.5,5.9,1.08012344973464,1.10050493461461,5.28586769764362
"26",26,"Goats mouth inlet","GOAT_A","2017-07-15",2017,0,0,0,0,0,0,9.88,109.1,47115,30.6,11.3,10.14,112.3,47300,30.7,11.1,232,68.45227743,0.5,1.414213562,"2017-05-13",133,0,0,0,0,0,0,2.56869339514,26.51004,"eelgrass",55.192784,-132.900113,"Inside",4,5.8,0,1.31656117720877,5.28586769764362
"27",27,"Goats mouth inlet","GOAT_A","2017-07-15",2017,0,0,0,0,0,0,9.88,109.1,47115,30.6,11.3,10.14,112.3,47300,30.7,11.1,232,68.45227743,0.5,1.414213562,"2017-05-13",133,0,0,0,0,0,0,2.56869339514,26.51004,"eelgrass",55.192784,-132.900113,"Outside",5.2,5.4,1.54919333848297,1.26491106406735,5.28586769764362
"28",28,"North Pass","NPAS_A","2017-07-24",2017,0,0,0,0,0,0,9.74,104.9,46392,30,10.3,105,9.87,46422,30,9.9,93,29.45214035,0,0,"2017-06-10",161,0,6,0,2,0,8,0.139457692313,14.07962,"eelgrass",55.229358,-132.924121,"Edge",2.9,3,1.52388392675499,2.10818510677892,0.241642886365512
"29",29,"North Pass","NPAS_A","2017-07-24",2017,0,0,0,0,0,0,9.74,104.9,46392,30,10.3,105,9.87,46422,30,9.9,93,29.45214035,0,0,"2017-06-10",161,0,6,0,2,0,8,0.139457692313,14.07962,"eelgrass",55.229358,-132.924121,"Inside",2.9,5.4,2.28278582243519,2.17050941281329,0.241642886365512
"30",30,"North Pass","NPAS_A","2017-07-24",2017,0,0,0,0,0,0,9.74,104.9,46392,30,10.3,105,9.87,46422,30,9.9,93,29.45214035,0,0,"2017-06-10",161,0,6,0,2,0,8,0.139457692313,14.07962,"eelgrass",55.229358,-132.924121,"Outside",7,4,0,2.49443825784929,0.241642886365512
"31",31,"Natzuhini Bay","NATZ_A","2017-06-28",2017,0,0,0,0,0,0,9.57,104.1,45971,29.8,12.7,9.43,106.7,45992,29.8,12.5,170.5,42.27461244,2.5,4.242640687,"2017-06-11",162,0,15,0,0,0,15,1.97502425619,37.96172,"eelgrass",55.247155,-132.879137,"Edge",4,4,2.58198889747161,2.82842712474619,2.95761083271972
"32",32,"Natzuhini Bay","NATZ_A","2017-06-28",2017,0,0,0,0,0,0,9.57,104.1,45971,29.8,12.7,9.43,106.7,45992,29.8,12.5,170.5,42.27461244,2.5,4.242640687,"2017-06-11",162,0,15,0,0,0,15,1.97502425619,37.96172,"eelgrass",55.247155,-132.879137,"Inside",4.6,3,2.06559111797729,0,2.95761083271972
"33",33,"Natzuhini Bay","NATZ_A","2017-06-28",2017,0,0,0,0,0,0,9.57,104.1,45971,29.8,12.7,9.43,106.7,45992,29.8,12.5,170.5,42.27461244,2.5,4.242640687,"2017-06-11",162,0,15,0,0,0,15,1.97502425619,37.96172,"eelgrass",55.247155,-132.879137,"Outside",4,4.5,2.58198889747161,2.87711275027201,2.95761083271972
"34",34,"Dunbar Inlet","DUNB_A","2017-06-27",2017,1,1,0.113026279,0.113026279,0.113026279,0,9.97,115.3,64325,30.1,13.6,9.8,113,46324,30.1,13.1,230,40.62370877,1.5,2.976095237,"2017-07-07",188,0,0,1,0,0,1,1.00415037493,35.33156,"eelgrass",55.0848,-132.826,"Edge",2,6.9,0,1.59513148186739,0.990182813192193
"35",35,"Dunbar Inlet","DUNB_A","2017-06-27",2017,1,1,0.113026279,0.113026279,0.113026279,0,9.97,115.3,64325,30.1,13.6,9.8,113,46324,30.1,13.1,230,40.62370877,1.5,2.976095237,"2017-07-07",188,0,0,1,0,0,1,1.00415037493,35.33156,"eelgrass",55.0848,-132.826,"Inside",2,2,0,0,0.990182813192193
"36",36,"Dunbar Inlet","DUNB_A","2017-06-27",2017,1,1,0.113026279,0.113026279,0.113026279,0,9.97,115.3,64325,30.1,13.6,9.8,113,46324,30.1,13.1,230,40.62370877,1.5,2.976095237,"2017-07-07",188,0,0,1,0,0,1,1.00415037493,35.33156,"eelgrass",55.0848,-132.826,"Outside",2.6,6.7,0.966091783079296,1.88856206322871,0.990182813192193
"37",37,"Farallon Bay","FARA_A","2017-07-23",2017,0,0,0,0,0,0,9.91,99.2,14912,8.6,13.1,6.52,72,44277,28.7,12.4,181.5,80.36879281,0.5,1.414213562,"2017-08-11",223,0,0,0,0,0,0,0.278537934996,96.76914,"eelgrass",55.19112,-133.105314,"Edge",4.5,6.6,0.52704627669473,0.966091783079296,0.277863944078984
"38",38,"Farallon Bay","FARA_A","2017-07-23",2017,0,0,0,0,0,0,9.91,99.2,14912,8.6,13.1,6.52,72,44277,28.7,12.4,181.5,80.36879281,0.5,1.414213562,"2017-08-11",223,0,0,0,0,0,0,0.278537934996,96.76914,"eelgrass",55.19112,-133.105314,"Inside",3.8,5.3,0.421637021355784,1.82878222991269,0.277863944078984
"39",39,"Farallon Bay","FARA_A","2017-07-23",2017,0,0,0,0,0,0,9.91,99.2,14912,8.6,13.1,6.52,72,44277,28.7,12.4,181.5,80.36879281,0.5,1.414213562,"2017-08-11",223,0,0,0,0,0,0,0.278537934996,96.76914,"eelgrass",55.19112,-133.105314,"Outside",5.2,6.5,1.13529242439509,1.35400640077266,0.277863944078984
"40",40,"Hetta Cove","HETA_A","2017-07-23",2017,0,0,0,0,0,0,10.9,104.4,5000,3.8,12.8,8.61,98.2,45200,29.3,13.4,275,47.50939757,4.5,4.985693819,"2017-08-10",222,0,0,0,0,0,0,0.329287618097,54.12727,"eelgrass",55.155625,-132.589934,"Edge",2.6,6.2,0.699205898780101,1.68654808542314,0.367575840484918
"41",41,"Hetta Cove","HETA_A","2017-07-23",2017,0,0,0,0,0,0,10.9,104.4,5000,3.8,12.8,8.61,98.2,45200,29.3,13.4,275,47.50939757,4.5,4.985693819,"2017-08-10",222,0,0,0,0,0,0,0.329287618097,54.12727,"eelgrass",55.155625,-132.589934,"Inside",5.2,5,2.29975844142138,1.9436506316151,0.367575840484918
"42",42,"Hetta Cove","HETA_A","2017-07-23",2017,0,0,0,0,0,0,10.9,104.4,5000,3.8,12.8,8.61,98.2,45200,29.3,13.4,275,47.50939757,4.5,4.985693819,"2017-08-10",222,0,0,0,0,0,0,0.329287618097,54.12727,"eelgrass",55.155625,-132.589934,"Outside",2.5,7,0.52704627669473,0,0.367575840484918
"43",43,"North Fish Egg Island","NFEI_A","2017-07-21",2017,66,14,3.810623557,0.808314088,2.309468822,2.122953385,9.88,102.3,38162,24.1,10.1,9.86,101.8,38426,24.3,10,369,70.41915324,0,0,"2017-05-10",130,0,1,0,3,0,4,2.48273484741,70.43177,"eelgrass",55.49709,-133.17,"Edge",3.9,4.7,0.316227766016838,2.26323269290239,2.6609911653847
"44",44,"North Fish Egg Island","NFEI_A","2017-07-21",2017,66,14,3.810623557,0.808314088,2.309468822,2.122953385,9.88,102.3,38162,24.1,10.1,9.86,101.8,38426,24.3,10,369,70.41915324,0,0,"2017-05-10",130,0,1,0,3,0,4,2.48273484741,70.43177,"eelgrass",55.49709,-133.17,"Inside",3.3,3.5,0.483045891539648,0.52704627669473,2.6609911653847
"45",45,"North Fish Egg Island","NFEI_A","2017-07-21",2017,66,14,3.810623557,0.808314088,2.309468822,2.122953385,9.88,102.3,38162,24.1,10.1,9.86,101.8,38426,24.3,10,369,70.41915324,0,0,"2017-05-10",130,0,1,0,3,0,4,2.48273484741,70.43177,"eelgrass",55.49709,-133.17,"Outside",6.7,5.2,1.88856206322871,1.54919333848297,2.6609911653847
"46",46,"South Fish Egg Island","SFEI_A","2017-07-21",2017,19,14,0.798738833,0.588544404,0.693641618,0.148629907,10.35,113.2,46814,30.3,10.7,10.44,113.8,46819,30.3,10.7,265.5,42.65141096,4.5,7.230886134,"2017-05-14",134,0,58,0,287,0,345,2.57646247103,41.71491,"eelgrass",55.48442,-133.17549,"Edge",4.9,6,1.85292561462497,1.76383420737639,3.72265871382502
"47",47,"South Fish Egg Island","SFEI_A","2017-07-21",2017,19,14,0.798738833,0.588544404,0.693641618,0.148629907,10.35,113.2,46814,30.3,10.7,10.44,113.8,46819,30.3,10.7,265.5,42.65141096,4.5,7.230886134,"2017-05-14",134,0,58,0,287,0,345,2.57646247103,41.71491,"eelgrass",55.48442,-133.17549,"Inside",3.4,4,0.516397779494322,0,3.72265871382502
"48",48,"South Fish Egg Island","SFEI_A","2017-07-21",2017,19,14,0.798738833,0.588544404,0.693641618,0.148629907,10.35,113.2,46814,30.3,10.7,10.44,113.8,46819,30.3,10.7,265.5,42.65141096,4.5,7.230886134,"2017-05-14",134,0,58,0,287,0,345,2.57646247103,41.71491,"eelgrass",55.48442,-133.17549,"Outside",3.4,7,0.516397779494322,1.49071198499986,3.72265871382502
"49",49,"South Wadleigh Island","SWAD_A","2017-07-12",2017,7,9,0.366588112,0.471327573,0.418957842,0.074061983,9.12,102.7,45081,29.1,12.5,9.19,103.9,45852,29.7,12.4,381,87.28933825,3,3.545621042,"2017-06-08",159,0,13,27,2,0,42,1.57830936918,87.97326,"eelgrass",55.528672,-133.14864,"Edge",2.8,2.7,0.421637021355784,1.56702123647242,2.20183414834449
"50",50,"South Wadleigh Island","SWAD_A","2017-07-12",2017,7,9,0.366588112,0.471327573,0.418957842,0.074061983,9.12,102.7,45081,29.1,12.5,9.19,103.9,45852,29.7,12.4,381,87.28933825,3,3.545621042,"2017-06-08",159,0,13,27,2,0,42,1.57830936918,87.97326,"eelgrass",55.528672,-133.14864,"Inside",1,1,0,0,2.20183414834449
"51",51,"South Wadleigh Island","SWAD_A","2017-07-12",2017,7,9,0.366588112,0.471327573,0.418957842,0.074061983,9.12,102.7,45081,29.1,12.5,9.19,103.9,45852,29.7,12.4,381,87.28933825,3,3.545621042,"2017-06-08",159,0,13,27,2,0,42,1.57830936918,87.97326,"eelgrass",55.528672,-133.14864,"Outside",2.3,4.6,0.483045891539648,2.59058123036339,2.20183414834449
"52",52,"Shinaku Inlet","SHIN_A","2017-07-12",2017,21,75,1.763964721,6.299874003,4.031919362,3.207372212,9.53,111.1,42374,24.2,14.7,9.82,11.8,43412,28,13.5,266,50.37005913,3,2.828427125,"2017-06-12",163,0,0,0,0,0,0,0.647750319158,53.00434,"eelgrass",55.59929,-133.16,"Edge",2.8,7,0.421637021355784,0,0.772375836509675
"53",53,"Shinaku Inlet","SHIN_A","2017-07-12",2017,21,75,1.763964721,6.299874003,4.031919362,3.207372212,9.53,111.1,42374,24.2,14.7,9.82,11.8,43412,28,13.5,266,50.37005913,3,2.828427125,"2017-06-12",163,0,0,0,0,0,0,0.647750319158,53.00434,"eelgrass",55.59929,-133.16,"Inside",1,1,0,0,0.772375836509675
"54",54,"Shinaku Inlet","SHIN_A","2017-07-12",2017,21,75,1.763964721,6.299874003,4.031919362,3.207372212,9.53,111.1,42374,24.2,14.7,9.82,11.8,43412,28,13.5,266,50.37005913,3,2.828427125,"2017-06-12",163,0,0,0,0,0,0,0.647750319158,53.00434,"eelgrass",55.59929,-133.16,"Outside",4,7,0,0,0.772375836509675
"55",55,"Trocadero Bay","TROC_A","2017-08-21",2017,0,1,0,0.090334237,0.045167118,0.063875951,8.48,95,44255,28.5,12.5,8.11,92.6,47712,31.1,12.4,471,107.7298208,3.5,4.503966506,"2017-08-07",219,0,0,0,0,0,0,0.245702664298,141.62429,"eelgrass",55.344914,-133.0011,"Edge",4.9,5.2,1.44913767461894,1.93218356615859,0.246726341847454
"56",56,"Trocadero Bay","TROC_A","2017-08-21",2017,0,1,0,0.090334237,0.045167118,0.063875951,8.48,95,44255,28.5,12.5,8.11,92.6,47712,31.1,12.4,471,107.7298208,3.5,4.503966506,"2017-08-07",219,0,0,0,0,0,0,0.245702664298,141.62429,"eelgrass",55.344914,-133.0011,"Inside",4.7,7.3,0.483045891539648,0.674948557710553,0.246726341847454
"57",57,"Trocadero Bay","TROC_A","2017-08-21",2017,0,1,0,0.090334237,0.045167118,0.063875951,8.48,95,44255,28.5,12.5,8.11,92.6,47712,31.1,12.4,471,107.7298208,3.5,4.503966506,"2017-08-07",219,0,0,0,0,0,0,0.245702664298,141.62429,"eelgrass",55.344914,-133.0011,"Outside",4.8,7.4,0.421637021355784,0.516397779494322,0.246726341847454
"58",58,"Garcia Bay","SODA_A","2017-07-09",2017,20,23,1.797752809,2.06741573,1.93258427,0.19068048,9.15,104,48550,31.6,12.6,9.1,104,48452,31.5,16.6,283,67.43462443,0,0,"2017-08-06",218,0,0,0,0,0,0,0.265039701401,73.17176,"eelgrass",55.26366,-132.995,"Edge",3.8,5,0.421637021355784,1.76383420737639,2.43537394182952
"59",59,"Garcia Bay","SODA_A","2017-07-09",2017,20,23,1.797752809,2.06741573,1.93258427,0.19068048,9.15,104,48550,31.6,12.6,9.1,104,48452,31.5,16.6,283,67.43462443,0,0,"2017-08-06",218,0,0,0,0,0,0,0.265039701401,73.17176,"eelgrass",55.26366,-132.995,"Inside",2.9,2.4,0.567646212197547,0.699205898780101,2.43537394182952
"60",60,"Garcia Bay","SODA_A","2017-07-09",2017,20,23,1.797752809,2.06741573,1.93258427,0.19068048,9.15,104,48550,31.6,12.6,9.1,104,48452,31.5,16.6,283,67.43462443,0,0,"2017-08-06",218,0,0,0,0,0,0,0.265039701401,73.17176,"eelgrass",55.26366,-132.995,"Outside",4,6.4,0,1.26491106406735,2.43537394182952
"61",61,"Port Refugio","REFU_A","2017-08-22",2017,1,0,0.198412698,0,0.099206349,0.140298965,8.73,90.7,26119,16.2,12.8,8.2,92.6,45618,29.4,12.6,334.5,123.5279032,0.5,1.414213562,"2017-08-26",238,0,0,0,0,0,0,0.483353765439,62.7653,"eelgrass",55.282137,-133.334028,"Edge",4,6.8,1.05409255338946,0.632455532033676,0.541184715752065
"62",62,"Port Refugio","REFU_A","2017-08-22",2017,1,0,0.198412698,0,0.099206349,0.140298965,8.73,90.7,26119,16.2,12.8,8.2,92.6,45618,29.4,12.6,334.5,123.5279032,0.5,1.414213562,"2017-08-26",238,0,0,0,0,0,0,0.483353765439,62.7653,"eelgrass",55.282137,-133.334028,"Inside",3.4,5.1,1.34989711542111,2.07899548393502,0.541184715752065
"63",63,"Port Refugio","REFU_A","2017-08-22",2017,1,0,0.198412698,0,0.099206349,0.140298965,8.73,90.7,26119,16.2,12.8,8.2,92.6,45618,29.4,12.6,334.5,123.5279032,0.5,1.414213562,"2017-08-26",238,0,0,0,0,0,0,0.483353765439,62.7653,"eelgrass",55.282137,-133.334028,"Outside",4.4,6.6,1.64654520469713,0.843274042711568,0.541184715752065
"64",64,"Baker Island - eel","BAKE_A","2019-06-18",2019,18,28,3.122289679,4.856895056,3.989592368,1.226551225,10.02,108.2,39068,26.4,12.3,9.8,108,50436,32.9,10.4,883.2,287.3242071,0,0,"2019-06-18",169,0,86,0,0,0,86,1.57186725028,253.092243880059,"eelgrass",55.3575,-133.5869444,"Edge",4,4.8,0,1.78885438199983,1.81073957573422
"65",65,"Baker Island - eel","BAKE_A","2019-06-18",2019,18,28,3.122289679,4.856895056,3.989592368,1.226551225,10.02,108.2,39068,26.4,12.3,9.8,108,50436,32.9,10.4,883.2,287.3242071,0,0,"2019-06-18",169,0,86,0,0,0,86,1.57186725028,253.092243880059,"eelgrass",55.3575,-133.5869444,"Inside",4,3,0,0,1.81073957573422
"66",66,"Baker Island - eel","BAKE_A","2019-06-18",2019,18,28,3.122289679,4.856895056,3.989592368,1.226551225,10.02,108.2,39068,26.4,12.3,9.8,108,50436,32.9,10.4,883.2,287.3242071,0,0,"2019-06-18",169,0,86,0,0,0,86,1.57186725028,253.092243880059,"eelgrass",55.3575,-133.5869444,"Outside",4,4,0,0,1.81073957573422
"67",67,"Chusini Cove","CHUS_B","2019-05-08",2019,96,78,6.588881263,5.353466026,5.971173644,0.873570492,11.42,128.6,48435,31.6,12,11.8,134.6,48667,31.7,11.8,340,75.09993342,0,0,"2019-05-08",128,0,9,18,8,3,38,1.34737229983,26.5796488856871,"eelgrass",55.81849,-133.1794,"Edge",4,3,0,0,1.51719513481426
"68",68,"Chusini Cove","CHUS_B","2019-05-08",2019,96,78,6.588881263,5.353466026,5.971173644,0.873570492,11.42,128.6,48435,31.6,12,11.8,134.6,48667,31.7,11.8,340,75.09993342,0,0,"2019-05-08",128,0,9,18,8,3,38,1.34737229983,26.5796488856871,"eelgrass",55.81849,-133.1794,"Inside",3,1,0,0,1.51719513481426
"69",69,"Chusini Cove","CHUS_B","2019-05-08",2019,96,78,6.588881263,5.353466026,5.971173644,0.873570492,11.42,128.6,48435,31.6,12,11.8,134.6,48667,31.7,11.8,340,75.09993342,0,0,"2019-05-08",128,0,9,18,8,3,38,1.34737229983,26.5796488856871,"eelgrass",55.81849,-133.1794,"Outside",5,4,0,0,1.51719513481426
