,site,bay_id,latitude,longitude,habitat,date,year,objective
52,Gravina Island,617,55.1561,-131.7498,eelgrass,6/19/07,2007,Objective 1
53,Prince of Wales Island,598,54.7401,-132.1536,eelgrass,6/14/07,2007,Objective 1
54,Prince of Wales Island,599,54.7259,-132.1241,understory kelp,6/14/07,2007,Objective 1
55,Prince of Wales Island,596,54.9711,-132.0924,eelgrass,6/13/07,2007,Objective 1
56,Prince of Wales Island,601,54.7051,-132.1005,understory kelp,6/14/07,2007,Objective 1
57,Prince of Wales Island,595,54.9856,-132.1098,understory kelp,6/13/07,2007,Objective 1
58,Annette Island,613,55.176,-131.5972,understory kelp,6/18/07,2007,Objective 1
59,Annette Island,614,55.1782,-131.5791,eelgrass,6/18/07,2007,Objective 1
60,,605,55.0635,-130.9917,understory kelp,6/15/07,2007,Objective 1
61,Duke Island,606,54.9744,-131.2538,understory kelp,6/16/07,2007,Objective 1
62,,603,55.0426,-130.9995,eelgrass,6/15/07,2007,Objective 1
63,Duke Island,607,54.9684,-131.2492,eelgrass,6/16/07,2007,Objective 1
64,Ballena Island,337,55.4764,-133.1881,eelgrass,5/14/98,1998,Objective 1
65,Prince of Wales Island,338,55.5208,-133.1617,eelgrass,5/15/98,1998,Objective 1
66,,602,55.047,-131.0105,understory kelp,6/15/07,2007,Objective 1
67,Baker Island,107,55.3658,-133.5856,eelgrass,7/16/99,1999,Objective 1
68,Baranof Island,112,56.2553,-134.6633,understory kelp,7/12/00,2000,Objective 1
69,Baranof Island,111,56.2536,-134.6653,understory kelp,7/12/00,2000,Objective 1
70,Baker Island,110,55.3597,-133.5878,understory kelp,7/16/99,1999,Objective 1
71,Baker Island,109,55.3597,-133.5883,understory kelp,7/16/99,1999,Objective 1
72,Baker Island,108,55.3575,-133.5869,eelgrass,7/16/99,1999,Objective 1
73,Blanquizal Point,BLAQ_A,55.62082,-133.38664,eelgrass,8/19/17,2017,Objective 2
74,Chusini Cove,CHUS_A,55.80692,-133.171,eelgrass,6/13/17,2017,Objective 2
75,Dunbar Inlet,DUNB_A,55.0848,-132.826,eelgrass,7/7/17,2017,Objective 2
76,Dunbar Inlet,DUNB_A,55.0848,-132.826,eelgrass,5/6/19,2019,Objective 2
77,Farallon Bay,FARA_A,55.19112,-133.105314,eelgrass,8/11/17,2017,Objective 2
78,Farallon Bay,FARA_A,55.19112,-133.105314,eelgrass,5/22/19,2019,Objective 2
79,Garcia Bay,GARC_A,55.552669,-133.431392,eelgrass,8/6/17,2017,Objective 2
80,Guktu Bay,GUKT_A,55.739816,-133.312022,eelgrass,8/9/17,2017,Objective 2
81,Guktu Bay,GUKT_A,55.739816,-133.312022,eelgrass,5/18/19,2019,Objective 2
82,Hetta Cove,HETA_A,55.155625,-132.589934,eelgrass,8/10/17,2017,Objective 2
83,Kaguk Cove,KAGK_A,55.73361,-133.29,eelgrass,7/8/17,2017,Objective 2
84,Kaguk Cove,KAGK_A,55.73361,-133.29,eelgrass,6/6/19,2019,Objective 2
85,Natzuhini Bay,NATZ_A,55.25051,-132.883,eelgrass,6/11/17,2017,Objective 2
86,Natzuhini Bay,NATZ_A,55.25051,-132.883,eelgrass,6/16/19,2019,Objective 2
87,Naukati Bay,NAUK_A,55.862405,-133.190722,eelgrass,8/8/17,2017,Objective 2
88,Naukati Bay,NAUK_A,55.862405,-133.190722,eelgrass,5/21/19,2019,Objective 2
89,North Fish Egg Island,NFEI_A,55.49709,-133.17,eelgrass,5/10/17,2017,Objective 2
90,North Fish Egg Island,NFEI_A,55.49709,-133.17,eelgrass,4/19/19,2019,Objective 2
91,Nossuk Bay,NOSK_A,55.7073,-133.342,eelgrass,5/15/17,2017,Objective 2
92,Nossuk Bay,NOSK_A,55.70818,-133.34164,eelgrass,4/24/19,2019,Objective 2
93,Port Refugio,REFU_A,55.282137,-133.334028,eelgrass,8/26/17,2017,Objective 2
94,Port Refugio,REFU_A,55.282137,-133.334028,eelgrass,5/19/19,2019,Objective 2
95,Shinaku Inlet,SHIN_A,55.59929,-133.16,eelgrass,6/12/17,2017,Objective 2
96,Shinaku Inlet,SHIN_A,55.59929,-133.16,eelgrass,5/17/19,2019,Objective 2
97,Soda Bay,SODA_A,55.26366,-132.995,eelgrass,5/11/17,2017,Objective 2
98,South Wadleigh Island,SWAD_A,55.52904,-133.147,eelgrass,6/8/17,2017,Objective 2
99,South Wadleigh Island,SWAD_A,55.52904,-133.147,eelgrass,5/10/19,2019,Objective 2
100,Trocadero Bay,TROC_A,55.344914,-133.0011,eelgrass,8/7/17,2017,Objective 2
101,Baker Island,BAKE_A,55.3575,-133.5869444,eelgrass,6/18/19,2019,Objective 2
102,Chusini Cove,CHUS_B,55.81849,-133.1794,eelgrass,5/8/19,2019,Objective 2
103,Goats mouth inlet,GOAT_A,55.19286,-132.9,eelgrass,5/13/17,2017,Objective 2
104,Goats mouth inlet,GOAT_A,55.192784,-132.900113,eelgrass,4/23/19,2019,Objective 2
105,Klawock Airport,KLWA_A,55.577767,-133.0941,eelgrass,5/7/19,2019,Objective 2
106,South Fish Egg Island,SFEI_A,55.48442,-133.175,eelgrass,5/14/17,2017,Objective 2
107,South Fish Egg Island,SFEI_A,55.48442,-133.17549,eelgrass,5/20/19,2019,Objective 2
108,Salt Lake Bay,SALA_A,55.67264,-133.378,eelgrass,5/12/17,2017,Objective 2
109,North Pass,NPAS_A,55.22962,-132.925,eelgrass,6/10/17,2017,Objective 2
110,Heceta Island,HECA_A,55.77583333,-133.5319444,eelgrass,6/15/19,2019,Objective 2
111,North Pass,NPAS_B,55.229743,-132.924047,eelgrass,5/9/19,2019,Objective 2
112,Salt Lake Bay,SALA_A,55.67565,-133.3735,eelgrass,5/5/19,2019,Objective 2
113,Calder Bay,CALD_A,56.193611,-133.516944,eelgrass,6/7/19,2019,Objective 2
